dog_names_2022;people_names_2022;people_names_1900
Alma;Olavi;Anna
Bella;Juhani;Hilma
Bruno;Aurora;Martta
Elli;Maria;Hilja
Elmo;Johannes;Juho 
Elsa;Sofia;Olga
Halti;Olivia;Väinö 
Helmi;Mikael;Maria
Hertta;Oliver;Tyyne
Hilla;Ilmari;Aino
Kamu;Onni;Helmi
Kerttu;Emilia;Iida
Lumi;Eino;Hilda
Luna;Aino;Eino 
Maisa;Elias;Lempi
Manu;Leo;Yrjö 
Martta;Toivo;Kalle 
Mauno;Väinö;Elsa
Miina;Matilda;Lauri 
Milli;Matias;Ida
Milo;Emil;Toivo 
Nemo;Ilona;Matti 
Nova;Linnea;Aina
Onni;Ellen;Johannes 
Ruska;Viljami;Antti 
Sulo;Antero;Otto 
Topi;Helmi;Frans 
Tyyne;Amanda;Alma
Urho;Tapio;Fanny
Usva;Tapani;Karl 
Vili;Lilja;Johan 
