k,LL,perplexity
2,-1161689.9279443924,1380.0572259362239
3,-1141285.800121922,1215.478793798923
4,-1127443.6078643915,1115.1511514608274
5,-1114553.901873424,1029.187575876849
6,-1109986.171132756,1000.3421110535543
7,-1098616.778403419,932.0056790146781
8,-1089790.498663023,882.1902834882487
9,-1088355.9408867252,874.3490583313568
10,-1076942.3773804477,814.3956886800771
11,-1071608.1090057215,787.8030009683506
12,-1071334.3891504973,786.462105416358
13,-1064686.2426977225,754.5859673928524
14,-1061453.1374234054,739.5542900514084
15,-1058228.0162698063,724.8580674119177
16,-1053605.600026616,704.3024281518811
17,-1051356.40152089,694.5122239181248
18,-1047507.0572293693,678.0716953118564
19,-1043745.4467362616,662.3819221729653
20,-1040671.5927791704,649.830726826321
21,-1036546.2154305369,633.3589082263351
22,-1031532.666274261,613.9018055096186
23,-1032519.3705259423,617.6832779465163
24,-1026795.007239716,596.0650160828083
25,-1026589.1948017956,595.3020099694847
26,-1024503.701698913,587.6253619836837
27,-1021898.379888852,578.1741692247512
28,-1020661.8620775054,573.7418611468331
29,-1017933.2601342071,564.0810122004184
30,-1016459.4105296893,558.9305614296733
31,-1010701.1747831409,539.2548911768489
32,-1010074.9164182907,537.1571957092858
33,-1009375.1355271537,534.8228832315252
34,-1009695.440382637,535.8900869407998
35,-1007738.801260181,529.4039554512017
36,-1003445.2300046745,515.4448632990047
37,-1002311.3214524272,511.82018369520154
38,-1000867.0296401259,507.2402115911198
39,-997736.9983869535,497.4547782816019
40,-995997.0482592833,492.09703402883434
41,-994137.6572797459,486.4352679255467
42,-996336.7935810968,493.1386421018845
43,-993484.5203454611,484.4619920564341
44,-989420.5841878597,472.362506738687
45,-989076.351090976,471.3516169798205
46,-987325.1916252107,466.242484688383
47,-986477.7636862771,463.78997482882454
48,-988314.3718082809,469.12164356243716
49,-983278.5739489389,454.64703396487323
50,-983631.2928720015,455.64616112682285
51,-981935.7141954385,450.8631973450876
52,-979360.7885362587,443.6955741937213
53,-979605.317098842,444.37132423024684
54,-977240.7251128826,437.8797288109431
55,-973142.6516847116,426.8529427995535
56,-974649.3212691605,430.87432117342627
57,-974054.4850722065,429.2821665371957
58,-972491.5917624576,425.12686425776616
59,-971945.201820153,423.68367288394757
60,-972879.1651755256,426.1535494358061
61,-968210.3780822421,413.9491398467737
62,-969491.9084808386,417.26388262360706
63,-965110.0672212366,406.0385298447104
64,-966115.8918212604,408.58823754409445
